project_id,project_type,project_scale,project_duration_years,complexity_index,initial_investment,tax_rate,risk_index,year,inflation_rate,market_growth_rate,revenue,operating_cost,capex,working_capital,cash_flow
P0007,Energy,Medium,4,0.68,207048158.65,0.22,0.6,1,0.07,0.02,50741862.66,22232376.21,16313432.28,4906594.54,975928.63
P0007,Energy,Medium,4,0.68,207048158.65,0.22,0.6,2,0.09,0.01,84923620.57,40398557.19,7706938.75,8509850.03,23874376.06
P0007,Energy,Medium,4,0.68,207048158.65,0.22,0.6,3,0.03,0.05,115267474.51,54028923.56,3623966.61,11659760.04,41238556.41
P0007,Energy,Medium,4,0.68,207048158.65,0.22,0.6,4,0.07,-0.04,90604087.9,44660921.84,1579189.81,8994324.93,36468016.15
P0008,Real Estate,Small,6,0.71,17217650.85,0.28,0.54,1,0.07,0.1,5336533.98,3456873.44,1840544.69,473310.08,-917255.1
P0008,Real Estate,Small,6,0.71,17217650.85,0.28,0.54,2,0.04,0.13,10050230.32,6543602.06,888004.05,862164.17,1250964.63
P0008,Real Estate,Small,6,0.71,17217650.85,0.28,0.54,3,0.03,0.05,9022288.74,5092373.2,956166.74,830086.34,1862826.62
P0008,Real Estate,Small,6,0.71,17217650.85,0.28,0.54,4,0.07,0.03,9749708.02,5774770.25,285064.23,831804.77,2622846.87
P0008,Real Estate,Small,6,0.71,17217650.85,0.28,0.54,5,0.03,0.08,9009155.41,5452847.77,1165446.36,802814.09,1463019.45
P0008,Real Estate,Small,6,0.71,17217650.85,0.28,0.54,6,0.06,0.02,8704031.72,5764751.29,242385.58,701775.36,2004331.19
P0009,Healthcare,Medium,8,0.49,25377669.79,0.22,0.42,1,0.04,0.04,3962467.1,2215488.97,1979348.4,223410.71,-799710.78
P0009,Healthcare,Medium,8,0.49,25377669.79,0.22,0.42,2,0.03,0.12,9416519.53,5827150.86,555028.5,461977.37,2162291.22
P0009,Healthcare,Medium,8,0.49,25377669.79,0.22,0.42,3,0.03,0.02,10277953.3,6883998.2,797156.98,483508.39,1799513.97
P0009,Healthcare,Medium,8,0.49,25377669.79,0.22,0.42,4,0.05,0.03,9184915.5,5479962.69,1012823.07,499446.19,1903688.08
P0009,Healthcare,Medium,8,0.49,25377669.79,0.22,0.42,5,0.07,0.01,8238488.24,5247844.99,1353065.17,458295.57,1016191.8
P0009,Healthcare,Medium,8,0.49,25377669.79,0.22,0.42,6,0.08,0.07,10404946.24,6318343.12,444324.72,589210.93,2708360.79
P0009,Healthcare,Medium,8,0.49,25377669.79,0.22,0.42,7,0.05,0.1,10945163.7,6413131.18,845422.56,580167.25,2682914.04
P0009,Healthcare,Medium,8,0.49,25377669.79,0.22,0.42,8,0.02,0.03,9616484.75,6092540.31,586989.78,508252.71,2200902.9
P0010,Energy,Medium,3,0.72,169638030.4,0.24,0.2,1,0.06,0.06,29826667.25,17259985.99,20907932.92,1590821.12,-13058321.25
P0010,Energy,Medium,3,0.72,169638030.4,0.24,0.2,2,0.05,0.04,36210412.05,19367826.99,4847651.69,1744914.47,7927014.43
P0010,Energy,Medium,3,0.72,169638030.4,0.24,0.2,3,0.04,0.04,44211614.1,26090742.18,3219357.71,2083803.01,10358975.48
P0011,Technology,Medium,7,0.69,16802157.01,0.23,0.44,1,0.06,0.04,7982559.53,5425078.91,2098362.37,537327.96,-707006.28
P0011,Technology,Medium,7,0.69,16802157.01,0.23,0.44,2,0.07,0.05,12882688.0,7934539.05,824983.21,822552.46,2629355.31
P0011,Technology,Medium,7,0.69,16802157.01,0.23,0.44,3,0.07,0.06,15259699.48,10339900.27,549136.42,1044217.83,3239068.23
P0011,Technology,Medium,7,0.69,16802157.01,0.23,0.44,4,0.05,0.04,15512611.39,10120835.14,811412.53,1041906.92,3312510.24
P0011,Technology,Medium,7,0.69,16802157.01,0.23,0.44,5,0.04,0.06,15780934.6,10452649.92,807111.37,1093622.72,3331275.95
P0011,Technology,Medium,7,0.69,16802157.01,0.23,0.44,6,0.07,0.09,17954842.17,11443826.95,378037.82,1247162.58,4339982.79
P0011,Technology,Medium,7,0.69,16802157.01,0.23,0.44,7,0.05,0.06,14854312.65,9622547.48,209449.15,956902.98,3724065.17
P0012,Energy,Large,6,0.35,124431995.2,0.27,0.33,1,0.05,0.09,23774851.3,15806254.13,19963127.26,2313353.0,-16018498.98
P0012,Energy,Large,6,0.35,124431995.2,0.27,0.33,2,0.03,0.07,50374236.83,34669793.92,4464320.32,4933574.44,4260423.31
P0012,Energy,Large,6,0.35,124431995.2,0.27,0.33,3,0.09,0.04,62017406.23,46397908.84,5807177.58,6213700.29,4217854.85
P0012,Energy,Large,6,0.35,124431995.2,0.27,0.33,4,0.06,0.02,57862912.15,38342765.6,2238261.49,5856054.46,11936179.72
P0012,Energy,Large,6,0.35,124431995.2,0.27,0.33,5,0.06,0.08,53237476.37,36100945.87,6795727.41,4923698.67,6727659.69
P0012,Energy,Large,6,0.35,124431995.2,0.27,0.33,6,0.05,0.02,55802263.8,36144288.98,1034540.7,6530825.4,11825498.76
P0013,Manufacturing,Medium,7,0.66,29192698.19,0.27,0.44,1,0.02,0.03,6975592.26,5536474.31,2077236.19,490832.24,-1570425.35
P0013,Manufacturing,Medium,7,0.66,29192698.19,0.27,0.44,2,0.06,0.0,11985605.6,9984953.43,661463.81,732699.12,559298.15
P0013,Manufacturing,Medium,7,0.66,29192698.19,0.27,0.44,3,0.06,0.08,16261102.44,12974608.4,672718.64,1080550.67,1283340.16
P0013,Manufacturing,Medium,7,0.66,29192698.19,0.27,0.44,4,0.04,0.09,17558632.33,14567021.7,1669341.68,1118447.8,470330.2
P0013,Manufacturing,Medium,7,0.66,29192698.19,0.27,0.44,5,0.09,0.08,14165544.29,12935731.21,1525395.86,831908.82,-314445.08
P0013,Manufacturing,Medium,7,0.66,29192698.19,0.27,0.44,6,0.06,0.02,19133485.94,17214930.81,367417.18,1312627.81,578092.46
P0013,Manufacturing,Medium,7,0.66,29192698.19,0.27,0.44,7,0.05,0.05,17227553.5,14298818.05,569179.75,1154250.05,1837306.86
P0014,Infrastructure,Small,3,0.34,119258656.14,0.23,0.59,1,0.06,0.07,29869361.6,17716136.23,15519888.11,1978336.12,-8503161.86
P0014,Infrastructure,Small,3,0.34,119258656.14,0.23,0.59,2,0.07,0.06,33218122.25,18686989.22,1746123.38,1925485.17,9133203.26
P0014,Infrastructure,Small,3,0.34,119258656.14,0.23,0.59,3,0.04,0.07,48981699.48,26244936.58,738987.15,2913725.86,16023382.22
P0015,Infrastructure,Medium,8,0.53,140453152.64,0.25,0.42,1,0.05,0.07,23191951.97,16070314.67,14561773.31,1395469.46,-10721707.84
P0015,Infrastructure,Medium,8,0.53,140453152.64,0.25,0.42,2,0.08,0.05,27415527.01,20230298.62,2788425.61,1812358.81,2186677.36
P0015,Infrastructure,Medium,8,0.53,140453152.64,0.25,0.42,3,0.05,0.03,37494890.49,24320966.3,3079238.86,2268198.12,6232910.98
P0015,Infrastructure,Medium,8,0.53,140453152.64,0.25,0.42,4,0.05,0.07,35682970.7,25284064.61,6853016.71,2219846.33,1002035.47
P0015,Infrastructure,Medium,8,0.53,140453152.64,0.25,0.42,5,0.09,0.05,34782898.98,22933252.37,4075794.76,2232576.86,5188167.03
P0015,Infrastructure,Medium,8,0.53,140453152.64,0.25,0.42,6,0.06,-0.02,32900917.63,22295631.93,1634611.11,2155875.4,6305915.61
P0015,Infrastructure,Medium,8,0.53,140453152.64,0.25,0.42,7,0.04,0.15,37409436.79,24824804.58,3031446.16,2512588.46,6188645.78
P0015,Infrastructure,Medium,8,0.53,140453152.64,0.25,0.42,8,0.07,-0.0,41421189.75,29220928.53,1403610.69,2641695.25,7527922.77
P0016,Real Estate,Small,3,0.37,57259786.9,0.21,0.57,1,0.04,0.06,17469640.53,9523969.52,5210513.23,1509346.94,-450237.32
P0016,Real Estate,Small,3,0.37,57259786.9,0.21,0.57,2,0.04,0.02,19182468.68,11130027.06,1117908.2,1611967.66,5002056.46
P0016,Real Estate,Small,3,0.37,57259786.9,0.21,0.57,3,0.02,0.08,27618681.82,14934935.35,803548.62,2211717.46,9097250.34
P0017,Energy,Medium,9,0.38,228572527.24,0.21,0.46,1,0.09,0.06,86290913.24,48965463.05,24858291.75,4939148.23,-406504.35
P0017,Energy,Medium,9,0.38,228572527.24,0.21,0.46,2,0.06,0.09,97558553.85,56025862.64,2612541.14,5812436.77,27945610.76
P0017,Energy,Medium,9,0.38,228572527.24,0.21,0.46,3,0.05,0.03,121053300.39,72829111.49,8759128.98,7653919.1,25772026.81
P0017,Energy,Medium,9,0.38,228572527.24,0.21,0.46,4,0.08,0.04,126243151.5,69461391.84,3517821.29,8185096.56,42629524.82
P0017,Energy,Medium,9,0.38,228572527.24,0.21,0.46,5,0.08,0.08,135528317.67,80540018.91,8954470.27,8500392.36,32279829.04
P0017,Energy,Medium,9,0.38,228572527.24,0.21,0.46,6,0.05,-0.01,140738395.43,87207006.87,2914904.54,9366517.82,36523160.56
P0017,Energy,Medium,9,0.38,228572527.24,0.21,0.46,7,0.04,0.06,132596977.64,74611924.37,3404564.87,8421552.9,45351574.2
P0017,Energy,Medium,9,0.38,228572527.24,0.21,0.46,8,0.06,0.02,147060289.37,85699753.46,11852052.47,9179433.18,35021909.48
P0017,Energy,Medium,9,0.38,228572527.24,0.21,0.46,9,0.06,0.06,129446827.66,77065849.26,2526993.22,8056781.58,43258321.66
P0018,Manufacturing,Small,6,0.63,70399395.07,0.23,0.54,1,0.06,0.06,16925625.42,12662089.02,7385684.6,854073.46,-4949997.67
P0018,Manufacturing,Small,6,0.63,70399395.07,0.23,0.54,2,0.04,0.11,21734411.43,17274519.54,2122599.77,1018885.91,1177728.23
P0018,Manufacturing,Small,6,0.63,70399395.07,0.23,0.54,3,0.03,0.03,25690009.76,17226296.29,3220607.19,1339872.6,2935482.37
P0018,Manufacturing,Small,6,0.63,70399395.07,0.23,0.54,4,0.08,0.08,28470263.16,21049296.14,1456196.31,1353457.36,4287704.18
P0018,Manufacturing,Small,6,0.63,70399395.07,0.23,0.54,5,0.07,0.08,25494286.23,17961042.46,1469134.17,1274690.82,4601876.26
P0018,Manufacturing,Small,6,0.63,70399395.07,0.23,0.54,6,0.03,0.04,28103000.92,21329345.77,707171.87,1273033.04,4536068.03
P0019,Infrastructure,Medium,8,0.55,71111080.28,0.24,0.79,1,0.06,-0.01,22534684.55,14101552.42,9876039.34,1370653.17,-5005970.94
P0019,Infrastructure,Medium,8,0.55,71111080.28,0.24,0.79,2,0.04,0.03,35471369.57,25834359.88,2357321.68,2097898.5,4335142.06
P0019,Infrastructure,Medium,8,0.55,71111080.28,0.24,0.79,3,0.04,0.07,36657597.74,22182565.51,1349898.08,2407646.29,9307838.33
P0019,Infrastructure,Medium,8,0.55,71111080.28,0.24,0.79,4,0.08,0.07,40596986.27,28473409.14,1562284.27,2715466.77,7253056.28
P0019,Infrastructure,Medium,8,0.55,71111080.28,0.24,0.79,5,0.07,0.06,40469471.55,30185868.32,1910246.94,2517541.83,6284470.17
P0019,Infrastructure,Medium,8,0.55,71111080.28,0.24,0.79,6,0.08,0.06,38509184.43,29318024.9,2756238.22,2512168.36,4409376.04
P0019,Infrastructure,Medium,8,0.55,71111080.28,0.24,0.79,7,0.09,0.08,40804406.85,29873044.77,1534549.57,2813301.32,6213871.91
P0019,Infrastructure,Medium,8,0.55,71111080.28,0.24,0.79,8,0.05,0.06,38029065.74,26532414.92,606457.96,2286278.66,9485683.58
P0020,Healthcare,Small,6,0.8,16405413.58,0.26,0.65,1,0.06,0.04,4202618.5,2211120.24,2044397.0,248831.68,-836557.92
P0020,Healthcare,Small,6,0.8,16405413.58,0.26,0.65,2,0.03,-0.06,7604229.23,4635823.91,278751.2,483921.37,1668431.38
P0020,Healthcare,Small,6,0.8,16405413.58,0.26,0.65,3,0.04,0.05,9612200.58,5210578.21,393493.08,595939.36,2748005.66
P0020,Healthcare,Small,6,0.8,16405413.58,0.26,0.65,4,0.05,0.02,8327382.61,4390769.07,451443.19,508433.08,2756920.32
P0020,Healthcare,Small,6,0.8,16405413.58,0.26,0.65,5,0.07,0.1,11656512.34,5896354.47,801931.07,749399.66,3227398.49
P0020,Healthcare,Small,6,0.8,16405413.58,0.26,0.65,6,0.08,0.07,9268172.6,5838849.2,310121.43,568469.25,2340383.01
P0021,Healthcare,Large,4,0.48,17382206.39,0.28,0.25,1,0.06,0.06,4715138.1,3047357.23,993549.64,366687.77,-155289.14
P0021,Healthcare,Large,4,0.48,17382206.39,0.28,0.25,2,0.05,-0.02,5558056.87,3509933.87,476892.38,446334.82,942205.97
P0021,Healthcare,Large,4,0.48,17382206.39,0.28,0.25,3,0.04,0.09,8471164.35,5462093.45,880905.0,664587.07,978402.49
P0021,Healthcare,Large,4,0.48,17382206.39,0.28,0.25,4,0.04,0.05,7988379.0,4837972.88,197940.22,608775.25,2130216.42
P0022,Infrastructure,Medium,6,0.7,284456613.74,0.35,0.86,1,0.07,0.07,70816981.89,44234931.76,38690580.62,3809276.72,-25886425.23
P0022,Infrastructure,Medium,6,0.7,284456613.74,0.35,0.86,2,0.03,0.01,84763098.57,53269872.69,8025926.03,4327337.18,11996824.71
P0022,Infrastructure,Medium,6,0.7,284456613.74,0.35,0.86,3,0.07,0.01,138692122.1,88354871.4,13067936.26,7511265.78,15897218.0
P0022,Infrastructure,Medium,6,0.7,284456613.74,0.35,0.86,4,0.07,-0.01,94760534.86,58594274.19,9305165.18,5236565.09,15987382.26
P0022,Infrastructure,Medium,6,0.7,284456613.74,0.35,0.86,5,0.03,0.04,143345692.12,84058422.37,5960253.66,6886128.69,29499134.7
P0022,Infrastructure,Medium,6,0.7,284456613.74,0.35,0.86,6,0.06,0.11,102951495.75,66350098.52,4040060.0,5166908.73,21733236.18
P0023,Manufacturing,Medium,7,0.6,52307474.13,0.23,0.35,1,0.05,0.09,19394493.97,11758337.82,4087909.29,1272663.71,489641.08
P0023,Manufacturing,Medium,7,0.6,52307474.13,0.23,0.35,2,0.05,0.05,25990480.22,16128293.74,931587.75,1650640.59,6107551.95
P0023,Manufacturing,Medium,7,0.6,52307474.13,0.23,0.35,3,0.08,0.03,31809506.59,19971595.2,1883493.63,1914842.63,6459528.4
P0023,Manufacturing,Medium,7,0.6,52307474.13,0.23,0.35,4,0.04,0.02,26511795.01,15540071.29,2476471.59,1752205.26,5887332.78
P0023,Manufacturing,Medium,7,0.6,52307474.13,0.23,0.35,5,0.03,0.01,30533812.24,19352229.5,2155182.98,1957104.26,6172419.78
P0023,Manufacturing,Medium,7,0.6,52307474.13,0.23,0.35,6,0.09,-0.01,28404046.51,17584172.25,2808227.87,1678623.54,5889295.6
P0023,Manufacturing,Medium,7,0.6,52307474.13,0.23,0.35,7,0.07,0.07,32082016.18,19874900.94,372929.77,1947367.33,8776229.65
P0024,Energy,Large,3,0.58,71025856.35,0.21,0.47,1,0.06,0.01,10261306.86,5419439.56,6440746.35,760038.92,-3558778.95
P0024,Energy,Large,3,0.58,71025856.35,0.21,0.47,2,0.05,0.09,14158893.59,7210687.06,1788101.08,1072850.99,3544267.61
P0024,Energy,Large,3,0.58,71025856.35,0.21,0.47,3,0.06,0.03,19628904.55,10583763.15,1371922.05,1501992.97,5173371.21
P0025,Manufacturing,Medium,5,0.87,92861006.84,0.29,0.52,1,0.08,0.06,16580551.12,13022547.57,6543188.66,1612903.46,-5367388.01
P0025,Manufacturing,Medium,5,0.87,92861006.84,0.29,0.52,2,0.03,0.09,32281345.14,24714397.26,2858057.37,3427960.77,720255.77
P0025,Manufacturing,Medium,5,0.87,92861006.84,0.29,0.52,3,0.05,0.03,34327305.16,24052760.15,1824655.11,3249783.56,5508813.57
P0025,Manufacturing,Medium,5,0.87,92861006.84,0.29,0.52,4,0.05,0.12,34474483.63,26503302.15,2548632.42,3300922.24,2872113.7
P0025,Manufacturing,Medium,5,0.87,92861006.84,0.29,0.52,5,0.08,0.12,36207670.29,25871686.31,1640745.93,3536255.43,5379309.13
P0026,Real Estate,Small,4,0.42,118061784.97,0.22,0.88,1,0.05,0.0,33126230.82,17026838.27,14258158.15,2922783.64,-4461040.65
P0026,Real Estate,Small,4,0.42,118061784.97,0.22,0.88,2,0.07,0.06,51348481.58,28049694.99,2939336.25,4117737.74,14517159.46
P0026,Real Estate,Small,4,0.42,118061784.97,0.22,0.88,3,0.03,0.05,72197143.6,39728553.35,5826821.35,5984500.31,17175358.44
P0026,Real Estate,Small,4,0.42,118061784.97,0.22,0.88,4,0.05,0.04,70800080.02,34537601.84,1141694.75,5565007.65,27963844.02
P0027,Energy,Small,10,0.52,43633657.75,0.22,0.49,1,0.05,0.02,18248262.16,9350906.32,5987229.39,816243.45,99370.18
P0027,Energy,Small,10,0.52,43633657.75,0.22,0.49,2,0.02,0.04,17851197.29,9863868.31,1061503.77,849112.22,5284909.99
P0027,Energy,Small,10,0.52,43633657.75,0.22,0.49,3,0.03,0.07,25671913.21,13526859.58,1393123.56,1092084.14,7208627.18
P0027,Energy,Small,10,0.52,43633657.75,0.22,0.49,4,0.08,0.08,32789675.43,18210588.01,950528.27,1496029.5,9969765.81
P0027,Energy,Small,10,0.52,43633657.75,0.22,0.49,5,0.05,0.04,29000167.75,14717200.77,554286.86,1365683.35,10549476.23
P0027,Energy,Small,10,0.52,43633657.75,0.22,0.49,6,0.06,-0.03,31079212.2,16315896.15,2718500.46,1458331.07,9020038.1
P0027,Energy,Small,10,0.52,43633657.75,0.22,0.49,7,0.06,0.06,26241461.3,13371022.28,856547.85,1235575.4,9586197.15
P0027,Energy,Small,10,0.52,43633657.75,0.22,0.49,8,0.08,0.01,31530583.69,17399993.46,1144572.4,1504441.27,9722149.74
P0027,Energy,Small,10,0.52,43633657.75,0.22,0.49,9,0.05,0.09,26834416.58,13704281.54,1628376.75,1270047.31,8806255.99
P0027,Energy,Small,10,0.52,43633657.75,0.22,0.49,10,0.04,0.08,34822644.83,18307657.27,840819.82,1740929.78,12166867.88
P0028,Energy,Large,6,0.58,289929911.77,0.26,0.78,1,0.03,0.04,71501985.36,40460301.5,29140914.63,4890631.05,-10578023.24
P0028,Energy,Large,6,0.58,289929911.77,0.26,0.78,2,0.06,0.05,93901139.75,53835258.47,11554470.93,6571295.52,16468258.86
P0028,Energy,Large,6,0.58,289929911.77,0.26,0.78,3,0.02,0.04,113918762.55,67318102.74,16432177.06,7147330.1,18668623.42
P0028,Energy,Large,6,0.58,289929911.77,0.26,0.78,4,0.05,0.06,116159957.52,63068118.32,15419292.62,6902154.23,24280881.47
P0028,Energy,Large,6,0.58,289929911.77,0.26,0.78,5,0.03,0.11,127988258.46,64002994.39,8733075.81,9878222.73,36808504.94
P0028,Energy,Large,6,0.58,289929911.77,0.26,0.78,6,0.05,0.04,126731943.9,78623795.64,3850594.38,8281478.91,32753252.18
P0029,Infrastructure,Medium,5,0.48,236697402.84,0.27,0.7,1,0.05,0.07,34971362.01,20484500.77,24498024.67,3021316.15,-16942643.47
P0029,Infrastructure,Medium,5,0.48,236697402.84,0.27,0.7,2,0.03,0.05,43641402.84,23657365.16,6212853.7,3519353.86,7529121.5
P0029,Infrastructure,Medium,5,0.48,236697402.84,0.27,0.7,3,0.04,0.05,65838793.61,36484828.26,12307003.2,5154619.4,7366687.79
P0029,Infrastructure,Medium,5,0.48,236697402.84,0.27,0.7,4,0.08,0.1,54849630.21,34206967.06,10914956.86,4590678.82,4788241.02
P0029,Infrastructure,Medium,5,0.48,236697402.84,0.27,0.7,5,0.05,0.08,67185152.09,37554559.11,2723484.31,5416750.88,17608401.18
P0030,Infrastructure,Large,5,0.3,105527533.64,0.32,0.8,1,0.07,0.09,26585385.07,16574627.96,11074717.59,3039663.67,-7661335.23
P0030,Infrastructure,Large,5,0.3,105527533.64,0.32,0.8,2,0.09,0.11,44899885.64,25187929.65,2301453.51,5325839.63,9115597.68
P0030,Infrastructure,Large,5,0.3,105527533.64,0.32,0.8,3,0.06,0.07,50077759.6,26589381.79,2912144.68,6060719.23,12827588.44
P0030,Infrastructure,Large,5,0.3,105527533.64,0.32,0.8,4,0.04,0.07,57478998.09,32702662.97,4427912.0,6005216.18,12667785.07
P0030,Infrastructure,Large,5,0.3,105527533.64,0.32,0.8,5,0.04,0.09,54392335.77,30349300.94,2427914.47,6435696.67,13090412.1
P0031,Infrastructure,Large,7,0.8,373573957.16,0.28,0.34,1,0.07,0.07,99192371.88,87765406.14,37804248.58,4254325.99,-33417461.13
P0031,Infrastructure,Large,7,0.8,373573957.16,0.28,0.34,2,0.08,0.08,124633886.52,103999355.68,7784804.08,5544168.59,6137731.91
