project_id,company_name,sector,initial_investment,negative II,cashflow_y1,cashflow_y2,cashflow_y3,risk_score,discount_rate,NPV
P28,Hindustan Unilever,FMCG,48240000000,-48240000000,16401600000,17366400000,20260800000,3,0.08,-2080768176
P29,Hindustan Unilever,FMCG,48240000000,-48240000000,9648000000,13989600000,14472000000,4,0.1,-17034410218
P30,Hindustan Unilever,FMCG,90450000000,-90450000000,21708000000,26230500000,30753000000,3,0.08,-23448851166
P31,HDFC,finance,2.77E+11,-2.77E+11,66528000000,1.11E+11,1.14E+11,6,0.1,-39695206612
P32,HDFC,finance,3.28E+11,-3.28E+11,81900000000,81900000000,1.21E+11,5,0.1,-94391134485
P33,HDFC,finance,3.53E+11,-3.53E+11,1.23E+11,1.16E+11,1.23E+11,5,0.1,-51554921112
P34,HDFC,finance,3.28E+11,-3.28E+11,1.02E+11,1.21E+11,1.31E+11,6,0.1,-36648865515
P35,HDFC,finance,1.76E+11,-1.76E+11,59976000000,49392000000,52920000000,6,0.1,-41296949662
P36,HDFC,finance,1.76E+11,-1.76E+11,35280000000,65268000000,63504000000,4,0.1,-42675281743
P37,HDFC,finance,1.76E+11,-1.76E+11,38808000000,59976000000,56448000000,4,0.1,-49142839970
P38,HDFC,finance,2.02E+11,-2.02E+11,46368000000,62496000000,86688000000,5,0.1,-42667708490
P39,HDFC,finance,1.26E+11,-1.26E+11,44100000000,47880000000,39060000000,6,0.1,-16992486852
P40,HDFC,finance,2.77E+11,-2.77E+11,69300000000,97020000000,1.03E+11,4,0.1,-56960330579
P41,Tata Motors,Automobile,2.62E+11,-2.62E+11,62928000000,68172000000,97014000000,6,0.1,-75764177310
P42,Tata Motors,Automobile,6.12E+11,-6.12E+11,1.59E+11,1.90E+11,2.69E+11,6,0.1,-1.08E+11
P43,Tata Motors,Automobile,5.24E+11,-5.24E+11,1.26E+11,1.99E+11,1.78E+11,7,0.12,-1.26E+11
P44,Tata Motors,Automobile,2.19E+11,-2.19E+11,76475000000,87400000000,78660000000,6,0.1,-17647445530
P45,Tata Motors,Automobile,2.19E+11,-2.19E+11,50255000000,54625000000,87400000000,6,0.1,-62004094666
P46,Tata Motors,Automobile,3.93E+11,-3.93E+11,1.38E+11,1.34E+11,1.26E+11,8,0.12,-74209575437
P47,Tata Motors,Automobile,6.12E+11,-6.12E+11,1.53E+11,2.08E+11,1.84E+11,8,0.12,-1.79E+11
P48,Tata Motors,Automobile,6.56E+11,-6.56E+11,1.57E+11,2.23E+11,2.29E+11,6,0.1,-1.56E+11
P49,Tata Motors,Automobile,2.62E+11,-2.62E+11,57684000000,76038000000,1.13E+11,7,0.12,-69829024690
P50,Tata Motors,Automobile,4.81E+11,-4.81E+11,1.54E+11,1.30E+11,1.59E+11,8,0.12,-1.27E+11
